instance,generation,min,avg,max,std,execution_time,best_makespan
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,0,602.0,671.41,789.0,35.065109439441365,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,1,588.0,647.4,699.0,23.515101530718507,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,2,567.0,625.66,676.0,18.36312609552088,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,3,567.0,610.31,650.0,15.456192933578434,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,4,567.0,597.36,621.0,10.97134449372546,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,5,567.0,589.34,606.0,11.505841994395716,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,6,567.0,580.71,605.0,10.220856128524655,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,7,567.0,574.49,596.0,8.321652480126767,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,8,561.0,568.64,585.0,4.04603509623928,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,9,561.0,566.94,585.0,2.959121491253781,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,10,558.0,566.28,585.0,3.6771728270506947,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,11,552.0,565.03,597.0,5.575760037878244,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,12,552.0,562.05,576.0,3.985912693474357,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,13,549.0,560.01,579.0,4.224914200312239,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,14,549.0,556.04,561.0,4.049493795525559,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,15,545.0,553.14,579.0,4.797957898939923,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,16,543.0,550.51,561.0,2.459654447275064,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,17,543.0,550.11,597.0,6.2831441173985505,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,18,543.0,548.03,567.0,3.702580181441045,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,19,543.0,546.09,567.0,4.166761332257945,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,20,543.0,543.81,555.0,2.1009283662228944,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,21,537.0,543.67,567.0,3.140238844419323,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,22,537.0,543.93,570.0,4.423245414850955,,
ins449_m=4_j=60_t=120_sw=h_dens=s_var=9,23,533.0,542.85,567.0,3.5927009338379396,,
