instance,generation,min,avg,max,std,execution_time,best_makespan
ins96_m=3_j=15_t=15_var=16,0,37.0,51.84,68.0,6.186630747022162,,
ins96_m=3_j=15_t=15_var=16,1,38.0,47.93,58.0,3.899371744268556,,
ins96_m=3_j=15_t=15_var=16,2,38.0,45.03,52.0,2.815865763845997,,
ins96_m=3_j=15_t=15_var=16,3,37.0,43.71,50.0,2.5545841148805417,,
ins96_m=3_j=15_t=15_var=16,4,37.0,42.28,50.0,2.5419677417308035,,
ins96_m=3_j=15_t=15_var=16,5,37.0,40.69,56.0,2.5325678668102856,,
ins96_m=3_j=15_t=15_var=16,6,35.0,39.11,44.0,1.3258582126305967,,
ins96_m=3_j=15_t=15_var=16,7,35.0,38.29,45.0,1.2984221193433207,,
ins96_m=3_j=15_t=15_var=16,8,35.0,37.48,40.0,1.1356055653262713,,
ins96_m=3_j=15_t=15_var=16,9,35.0,36.81,40.0,1.0265963179361206,,
ins96_m=3_j=15_t=15_var=16,10,35.0,36.17,39.0,1.0775435026020992,,
ins96_m=3_j=15_t=15_var=16,11,35.0,35.81,44.0,1.412055239712668,,
ins96_m=3_j=15_t=15_var=16,12,35.0,35.6,44.0,1.4142135623730951,,
ins96_m=3_j=15_t=15_var=16,13,35.0,35.25,44.0,1.1258330249197703,,
ins96_m=3_j=15_t=15_var=16,14,35.0,35.37,44.0,1.4188375523646108,,
ins96_m=3_j=15_t=15_var=16,15,35.0,35.3,44.0,1.2206555615733703,,
ins96_m=3_j=15_t=15_var=16,16,35.0,35.26,39.0,0.9551963149007642,,
ins96_m=3_j=15_t=15_var=16,17,35.0,35.37,44.0,1.301191761424887,,
ins96_m=3_j=15_t=15_var=16,18,35.0,35.44,39.0,1.177454882362802,,
ins96_m=3_j=15_t=15_var=16,19,35.0,35.4,44.0,1.3856406460551016,,
ins96_m=3_j=15_t=15_var=16,20,35.0,35.33,39.0,0.980357077803797,,
ins96_m=3_j=15_t=15_var=16,21,35.0,35.41,39.0,1.1755424279880333,,
ins96_m=3_j=15_t=15_var=16,22,35.0,35.3,39.0,0.9746794344808966,,
ins96_m=3_j=15_t=15_var=16,23,35.0,35.56,44.0,1.6082288394379705,,
ins96_m=3_j=15_t=15_var=16,24,35.0,35.4,44.0,1.296148139681572,,
ins96_m=3_j=15_t=15_var=16,25,35.0,35.48,44.0,1.4455448799674122,,
ins96_m=3_j=15_t=15_var=16,26,35.0,35.27,44.0,1.1122499719037984,,
ins96_m=3_j=15_t=15_var=16,27,35.0,35.17,41.0,0.8608716512930369,,
ins96_m=3_j=15_t=15_var=16,28,35.0,35.25,39.0,0.9205976319760985,,
ins96_m=3_j=15_t=15_var=16,29,35.0,35.28,41.0,1.1320777358467924,,
ins96_m=3_j=15_t=15_var=16,30,35.0,35.32,41.0,1.1906300852909775,,
ins96_m=3_j=15_t=15_var=16,31,35.0,35.33,41.0,1.1666619047521867,,
ins96_m=3_j=15_t=15_var=16,32,35.0,35.29,44.0,1.1687172455303296,,
ins96_m=3_j=15_t=15_var=16,33,35.0,35.44,44.0,1.3734627770711518,,
ins96_m=3_j=15_t=15_var=16,34,35.0,35.28,39.0,0.9806120537705011,,
ins96_m=3_j=15_t=15_var=16,35,35.0,35.51,41.0,1.2609123680890755,,
ins96_m=3_j=15_t=15_var=16,36,35.0,35.38,41.0,1.1897898974188676,,
ins96_m=3_j=15_t=15_var=16,37,35.0,35.29,44.0,1.1941105476462388,,
ins96_m=3_j=15_t=15_var=16,38,35.0,35.55,44.0,1.4857657958103627,,
ins96_m=3_j=15_t=15_var=16,39,35.0,35.32,41.0,1.0759182125050213,,
ins96_m=3_j=15_t=15_var=16,40,33.0,35.43,41.0,1.3802535998866294,,
ins96_m=3_j=15_t=15_var=16,41,33.0,35.3,41.0,1.2688577540449522,,
ins96_m=3_j=15_t=15_var=16,42,33.0,35.16,39.0,1.146472851837321,,
ins96_m=3_j=15_t=15_var=16,43,33.0,35.3,39.0,1.2767145334803707,,
ins96_m=3_j=15_t=15_var=16,44,33.0,34.8,39.0,1.0,,
ins96_m=3_j=15_t=15_var=16,45,33.0,34.64,39.0,1.3380582946942186,,
ins96_m=3_j=15_t=15_var=16,46,33.0,34.61,44.0,2.2842723130134894,,
ins96_m=3_j=15_t=15_var=16,47,33.0,34.29,41.0,2.2329128957485107,,
ins96_m=3_j=15_t=15_var=16,48,33.0,33.89,39.0,1.7882673178247146,,
ins96_m=3_j=15_t=15_var=16,49,33.0,33.3,41.0,1.1704699910719627,,
ins96_m=3_j=15_t=15_var=16,50,33.0,33.78,44.0,2.1003809178337156,,
ins96_m=3_j=15_t=15_var=16,51,33.0,33.54,44.0,2.0367621363330577,,
ins96_m=3_j=15_t=15_var=16,52,33.0,33.55,44.0,1.7514279888136994,,
ins96_m=3_j=15_t=15_var=16,53,33.0,33.41,44.0,1.4838800490605701,,
ins96_m=3_j=15_t=15_var=16,54,33.0,33.6,44.0,1.944222209522358,,
ins96_m=3_j=15_t=15_var=16,55,33.0,33.7,41.0,1.8574175621006712,,
ins96_m=3_j=15_t=15_var=16,56,33.0,33.59,44.0,1.7725405496066935,,
ins96_m=3_j=15_t=15_var=16,57,33.0,33.47,39.0,1.195449706177554,,
ins96_m=3_j=15_t=15_var=16,58,33.0,33.53,41.0,1.6398475538902995,,
ins96_m=3_j=15_t=15_var=16,59,33.0,33.41,41.0,1.4428790663115187,,
ins96_m=3_j=15_t=15_var=16,60,33.0,33.36,44.0,1.4527215837867902,,
ins96_m=3_j=15_t=15_var=16,61,33.0,33.41,41.0,1.4359317532529183,,
ins96_m=3_j=15_t=15_var=16,62,33.0,33.5,41.0,1.5,,
ins96_m=3_j=15_t=15_var=16,63,33.0,33.89,44.0,2.130234728850321,,
ins96_m=3_j=15_t=15_var=16,64,33.0,33.79,44.0,2.1693086456288326,,
ins96_m=3_j=15_t=15_var=16,65,33.0,33.66,41.0,1.81229136730273,,
ins96_m=3_j=15_t=15_var=16,66,33.0,33.54,44.0,1.8461852561430558,,
ins96_m=3_j=15_t=15_var=16,67,33.0,33.5,41.0,1.5,,
ins96_m=3_j=15_t=15_var=16,68,33.0,33.59,44.0,1.7781732199085665,,
ins96_m=3_j=15_t=15_var=16,69,33.0,33.59,44.0,1.7555341067606745,,
ins96_m=3_j=15_t=15_var=16,70,33.0,33.41,41.0,1.357166165213383,,
ins96_m=3_j=15_t=15_var=16,71,33.0,33.3,39.0,1.0723805294763609,,
ins96_m=3_j=15_t=15_var=16,72,33.0,33.36,41.0,1.2451505933018703,,
ins96_m=3_j=15_t=15_var=16,73,33.0,33.42,41.0,1.5759441614473528,,
ins96_m=3_j=15_t=15_var=16,74,33.0,33.61,41.0,1.9281856757065692,,
ins96_m=3_j=15_t=15_var=16,75,33.0,33.38,39.0,1.1115754585272204,,
ins96_m=3_j=15_t=15_var=16,76,33.0,33.58,41.0,1.795438665062107,,
ins96_m=3_j=15_t=15_var=16,77,33.0,33.87,44.0,2.0477060335897828,,
ins96_m=3_j=15_t=15_var=16,78,33.0,33.71,44.0,2.0990235825259322,,
ins96_m=3_j=15_t=15_var=16,79,33.0,33.1,37.0,0.5196152422706634,,
ins96_m=3_j=15_t=15_var=16,80,33.0,33.4,39.0,1.3114877048604001,,
ins96_m=3_j=15_t=15_var=16,81,33.0,33.7,44.0,2.1189620100417095,,
ins96_m=3_j=15_t=15_var=16,82,33.0,33.74,44.0,1.9371112513224424,,
ins96_m=3_j=15_t=15_var=16,83,33.0,33.42,39.0,1.3052202879207786,,
ins96_m=3_j=15_t=15_var=16,84,33.0,33.79,44.0,2.1414714567324964,,
ins96_m=3_j=15_t=15_var=16,85,33.0,33.5,41.0,1.6583123951777,,
ins96_m=3_j=15_t=15_var=16,86,33.0,33.67,44.0,1.9700507607673463,,
ins96_m=3_j=15_t=15_var=16,87,33.0,33.29,41.0,1.2024558203942466,,
ins96_m=3_j=15_t=15_var=16,88,33.0,33.45,39.0,1.3143439428094916,,
ins96_m=3_j=15_t=15_var=16,89,33.0,33.78,44.0,2.0764392598869827,,
ins96_m=3_j=15_t=15_var=16,90,33.0,33.78,44.0,1.9625493624365227,,
ins96_m=3_j=15_t=15_var=16,91,33.0,33.83,44.0,2.044773826123564,,
ins96_m=3_j=15_t=15_var=16,92,33.0,33.3,39.0,1.1357816691600549,,
ins96_m=3_j=15_t=15_var=16,93,33.0,33.8,44.0,2.1587033144922905,,
ins96_m=3_j=15_t=15_var=16,94,33.0,33.45,41.0,1.4585952145814822,,
ins96_m=3_j=15_t=15_var=16,95,33.0,33.5,41.0,1.7748239349298849,,
ins96_m=3_j=15_t=15_var=16,96,33.0,33.62,41.0,1.93277003288027,,
ins96_m=3_j=15_t=15_var=16,97,33.0,33.81,44.0,2.19861319926903,,
ins96_m=3_j=15_t=15_var=16,98,33.0,33.52,41.0,1.5393505123915086,,
ins96_m=3_j=15_t=15_var=16,99,33.0,33.65,44.0,2.070627924084866,,
ins96_m=3_j=15_t=15_var=16,100,33.0,33.56,41.0,1.7396551382386107,,
ins96_m=3_j=15_t=15_var=16,101,33.0,33.65,44.0,2.0512191496766015,,
ins96_m=3_j=15_t=15_var=16,102,33.0,33.63,41.0,1.8689836810416511,,
ins96_m=3_j=15_t=15_var=16,103,33.0,33.43,44.0,1.58905632373431,,
ins96_m=3_j=15_t=15_var=16,104,33.0,33.54,39.0,1.5389606882568507,,
ins96_m=3_j=15_t=15_var=16,105,33.0,33.19,38.0,0.702780193232564,,
ins96_m=3_j=15_t=15_var=16,106,33.0,34.02,41.0,2.1953587406162116,,
ins96_m=3_j=15_t=15_var=16,107,33.0,33.7,41.0,1.7291616465790582,,
ins96_m=3_j=15_t=15_var=16,108,33.0,33.39,41.0,1.434538253236908,,
ins96_m=3_j=15_t=15_var=16,109,33.0,33.61,41.0,1.6118002357612433,,
ins96_m=3_j=15_t=15_var=16,110,33.0,33.92,44.0,2.3481056194302674,,
ins96_m=3_j=15_t=15_var=16,111,33.0,33.42,41.0,1.5045265035884212,,
ins96_m=3_j=15_t=15_var=16,112,33.0,33.58,41.0,1.7039953051578518,,
ins96_m=3_j=15_t=15_var=16,113,33.0,33.69,44.0,1.885179036590424,,
ins96_m=3_j=15_t=15_var=16,114,33.0,33.52,44.0,1.8301912468373351,,
ins96_m=3_j=15_t=15_var=16,115,33.0,33.47,44.0,1.7056083958517558,,
ins96_m=3_j=15_t=15_var=16,116,33.0,33.46,41.0,1.4927826365549677,,
ins96_m=3_j=15_t=15_var=16,117,33.0,33.58,41.0,1.6259151269362127,,
ins96_m=3_j=15_t=15_var=16,118,33.0,33.57,44.0,1.7958563416932882,,
ins96_m=3_j=15_t=15_var=16,119,33.0,33.59,41.0,1.7034964044576082,,
ins96_m=3_j=15_t=15_var=16,120,33.0,33.72,44.0,1.995394697797907,,
ins96_m=3_j=15_t=15_var=16,121,33.0,33.43,41.0,1.4508962747212495,,
ins96_m=3_j=15_t=15_var=16,122,33.0,33.35,41.0,1.3592277219068187,,
ins96_m=3_j=15_t=15_var=16,123,33.0,33.77,44.0,2.019183003098035,,
ins96_m=3_j=15_t=15_var=16,124,33.0,33.44,39.0,1.3139254164525473,,
ins96_m=3_j=15_t=15_var=16,125,33.0,33.38,41.0,1.4613692209705254,,
ins96_m=3_j=15_t=15_var=16,126,33.0,33.77,44.0,2.2532421086070618,,
ins96_m=3_j=15_t=15_var=16,127,33.0,33.38,44.0,1.3840520221436763,,
ins96_m=3_j=15_t=15_var=16,128,33.0,33.41,44.0,1.5626579920123278,,
ins96_m=3_j=15_t=15_var=16,129,33.0,33.4,41.0,1.3856406460551016,,
ins96_m=3_j=15_t=15_var=16,130,33.0,33.95,44.0,2.0316249653910043,,
ins96_m=3_j=15_t=15_var=16,131,33.0,33.37,41.0,1.3088544609695916,,
ins96_m=3_j=15_t=15_var=16,132,33.0,33.32,39.0,1.2237646832622686,,
ins96_m=3_j=15_t=15_var=16,133,33.0,33.46,41.0,1.5127458477880547,,
ins96_m=3_j=15_t=15_var=16,134,33.0,33.6,44.0,1.9131126469708992,,
ins96_m=3_j=15_t=15_var=16,135,33.0,33.52,44.0,1.8301912468373356,,
ins96_m=3_j=15_t=15_var=16,136,33.0,33.45,39.0,1.3143439428094916,,
ins96_m=3_j=15_t=15_var=16,137,33.0,33.49,44.0,1.5905659370173875,,
ins96_m=3_j=15_t=15_var=16,138,33.0,33.42,41.0,1.2742056348957178,,
ins96_m=3_j=15_t=15_var=16,139,33.0,33.31,44.0,1.494623698460586,,
ins96_m=3_j=15_t=15_var=16,140,33.0,33.61,44.0,1.8702673605663975,,
ins96_m=3_j=15_t=15_var=16,141,33.0,33.35,39.0,1.16940155635265,,
ins96_m=3_j=15_t=15_var=16,142,33.0,33.32,41.0,1.3481839637082174,,
ins96_m=3_j=15_t=15_var=16,143,33.0,33.57,44.0,1.8828435941415844,,
ins96_m=3_j=15_t=15_var=16,144,33.0,33.46,41.0,1.5711142542794272,,
ins96_m=3_j=15_t=15_var=16,145,33.0,33.64,41.0,1.8084247288731703,,
ins96_m=3_j=15_t=15_var=16,146,33.0,33.76,39.0,1.6918628786045282,,
ins96_m=3_j=15_t=15_var=16,147,33.0,33.53,41.0,1.6398475538903,,
ins96_m=3_j=15_t=15_var=16,148,33.0,33.57,44.0,1.888147240021286,,
ins96_m=3_j=15_t=15_var=16,149,33.0,33.65,41.0,1.6874537030686207,,
ins96_m=3_j=15_t=15_var=16,150,33.0,33.49,41.0,1.5523852614605693,,
ins96_m=3_j=15_t=15_var=16,151,33.0,33.71,44.0,2.0361483246561387,,
ins96_m=3_j=15_t=15_var=16,152,33.0,33.29,44.0,1.343837787830064,,
ins96_m=3_j=15_t=15_var=16,153,33.0,33.58,44.0,1.8009997223764362,,
ins96_m=3_j=15_t=15_var=16,154,33.0,33.7,41.0,1.9052558883257653,,
ins96_m=3_j=15_t=15_var=16,155,33.0,33.77,41.0,1.9537400031734005,,
ins96_m=3_j=15_t=15_var=16,156,33.0,33.43,39.0,1.4230600830604447,,
ins96_m=3_j=15_t=15_var=16,157,33.0,33.39,41.0,1.4063783274780648,,
ins96_m=3_j=15_t=15_var=16,158,33.0,33.51,44.0,1.9156983061014592,,
ins96_m=3_j=15_t=15_var=16,159,33.0,33.55,44.0,1.7051392904979934,,
ins96_m=3_j=15_t=15_var=16,160,33.0,33.52,41.0,1.5904716281656832,,
ins96_m=3_j=15_t=15_var=16,161,33.0,33.54,41.0,1.59637088422459,,
ins96_m=3_j=15_t=15_var=16,162,33.0,33.34,41.0,1.328307193385626,,
ins96_m=3_j=15_t=15_var=16,163,33.0,33.61,39.0,1.5549598065544972,,
ins96_m=3_j=15_t=15_var=16,164,33.0,33.34,41.0,1.234665946724052,,
ins96_m=3_j=15_t=15_var=16,165,33.0,33.44,39.0,1.3365627557282898,,
ins96_m=3_j=15_t=15_var=16,166,33.0,33.49,41.0,1.4932849694549264,,
ins96_m=3_j=15_t=15_var=16,167,33.0,33.33,39.0,1.1920989891783316,,
ins96_m=3_j=15_t=15_var=16,168,33.0,33.76,44.0,2.1029503084951866,,
ins96_m=3_j=15_t=15_var=16,169,33.0,33.28,41.0,1.1668761716651856,,
ins96_m=3_j=15_t=15_var=16,170,33.0,33.27,39.0,0.9257969539807311,,
ins96_m=3_j=15_t=15_var=16,171,33.0,33.74,41.0,1.993088056258428,,
ins96_m=3_j=15_t=15_var=16,172,33.0,33.51,44.0,1.6461773901982741,,
ins96_m=3_j=15_t=15_var=16,173,33.0,33.84,41.0,2.18961183774659,,
ins96_m=3_j=15_t=15_var=16,174,33.0,33.72,41.0,1.9239542614105982,,
ins96_m=3_j=15_t=15_var=16,175,33.0,33.84,41.0,1.9427815111329425,,
ins96_m=3_j=15_t=15_var=16,176,33.0,33.24,39.0,0.9499473669630335,,
ins96_m=3_j=15_t=15_var=16,177,33.0,33.65,41.0,1.7399712641305318,,
ins96_m=3_j=15_t=15_var=16,178,33.0,33.46,41.0,1.6457217261736568,,
ins96_m=3_j=15_t=15_var=16,179,33.0,33.62,41.0,1.7764008556629327,,
ins96_m=3_j=15_t=15_var=16,180,33.0,33.26,41.0,1.285457117137713,,
ins96_m=3_j=15_t=15_var=16,181,33.0,33.55,41.0,1.6209565077447328,,
ins96_m=3_j=15_t=15_var=16,182,33.0,33.57,41.0,1.7219465729226329,,
ins96_m=3_j=15_t=15_var=16,183,33.0,33.45,39.0,1.2835497652993437,,
ins96_m=3_j=15_t=15_var=16,184,33.0,33.66,44.0,1.945353438324255,,
ins96_m=3_j=15_t=15_var=16,185,33.0,33.55,41.0,1.5451537140362444,,
ins96_m=3_j=15_t=15_var=16,186,33.0,33.41,41.0,1.4077997016621364,,
ins96_m=3_j=15_t=15_var=16,187,33.0,33.56,41.0,1.6267759526130203,,
ins96_m=3_j=15_t=15_var=16,188,33.0,33.34,41.0,1.3580868897091964,,
ins96_m=3_j=15_t=15_var=16,189,33.0,33.32,41.0,1.085172797300043,,
ins96_m=3_j=15_t=15_var=16,190,33.0,33.44,39.0,1.3139254164525471,,
ins96_m=3_j=15_t=15_var=16,191,33.0,33.38,39.0,1.3174217244299564,,
ins96_m=3_j=15_t=15_var=16,192,33.0,33.35,41.0,1.2990381056766582,,
ins96_m=3_j=15_t=15_var=16,193,33.0,33.24,39.0,0.9911609354691094,,
ins96_m=3_j=15_t=15_var=16,194,33.0,33.26,44.0,1.2932130528261767,,
ins96_m=3_j=15_t=15_var=16,195,33.0,33.39,41.0,1.377642914546436,,
ins96_m=3_j=15_t=15_var=16,196,33.0,33.44,41.0,1.5383107618423528,,
ins96_m=3_j=15_t=15_var=16,197,33.0,33.5,44.0,1.6643316977093239,,
ins96_m=3_j=15_t=15_var=16,198,33.0,33.46,41.0,1.4381933110677438,,
ins96_m=3_j=15_t=15_var=16,199,33.0,33.65,44.0,1.8405162319305963,,
ins96_m=3_j=15_t=15_var=16,200,33.0,33.47,39.0,1.4314677781913223,,
ins96_m=3_j=15_t=15_var=16,201,33.0,33.42,41.0,1.5567915724335097,,
ins96_m=3_j=15_t=15_var=16,202,33.0,33.34,41.0,1.290116273829611,,
ins96_m=3_j=15_t=15_var=16,203,33.0,33.56,41.0,1.7223240113288787,,
ins96_m=3_j=15_t=15_var=16,204,33.0,33.44,41.0,1.3139254164525476,,
ins96_m=3_j=15_t=15_var=16,205,33.0,33.21,39.0,0.9197282207261012,,
ins96_m=3_j=15_t=15_var=16,206,33.0,33.16,39.0,0.7838367176906169,,
ins96_m=3_j=15_t=15_var=16,207,33.0,33.48,39.0,1.3891004283348272,,
