instance,generation,min,avg,max,std,execution_time,best_makespan
ins152_m=3_j=20_t=20_var=12,0,64.0,85.15,103.0,7.0871362340510995,,
ins152_m=3_j=20_t=20_var=12,1,64.0,79.79,91.0,5.6396719762766345,,
ins152_m=3_j=20_t=20_var=12,2,64.0,75.4,85.0,4.538722287164087,,
ins152_m=3_j=20_t=20_var=12,3,61.0,71.84,81.0,4.107846150965248,,
ins152_m=3_j=20_t=20_var=12,4,55.0,68.54,86.0,4.68277695390246,,
ins152_m=3_j=20_t=20_var=12,5,55.0,64.67,75.0,4.461064895291258,,
ins152_m=3_j=20_t=20_var=12,6,55.0,61.62,71.0,3.730361912737154,,
ins152_m=3_j=20_t=20_var=12,7,54.0,58.78,70.0,3.372180303601811,,
ins152_m=3_j=20_t=20_var=12,8,52.0,56.59,70.0,2.5616205808042687,,
ins152_m=3_j=20_t=20_var=12,9,52.0,55.3,64.0,1.5394804318340654,,
ins152_m=3_j=20_t=20_var=12,10,52.0,54.98,69.0,2.163238313270177,,
ins152_m=3_j=20_t=20_var=12,11,52.0,54.47,66.0,2.160810033297698,,
ins152_m=3_j=20_t=20_var=12,12,52.0,53.91,60.0,1.2007914056987583,,
ins152_m=3_j=20_t=20_var=12,13,52.0,53.41,55.0,0.9175510884958941,,
ins152_m=3_j=20_t=20_var=12,14,52.0,53.58,70.0,2.782732470073255,,
ins152_m=3_j=20_t=20_var=12,15,52.0,52.88,66.0,2.384449622030208,,
ins152_m=3_j=20_t=20_var=12,16,52.0,52.17,56.0,0.6489221833163048,,
ins152_m=3_j=20_t=20_var=12,17,52.0,52.43,64.0,1.7621293936598417,,
ins152_m=3_j=20_t=20_var=12,18,52.0,52.6,70.0,2.485960578931211,,
ins152_m=3_j=20_t=20_var=12,19,52.0,53.12,70.0,3.2039975031201258,,
ins152_m=3_j=20_t=20_var=12,20,52.0,52.52,66.0,2.1423351745233514,,
ins152_m=3_j=20_t=20_var=12,21,52.0,52.37,66.0,1.7813197354770427,,
ins152_m=3_j=20_t=20_var=12,22,52.0,52.64,66.0,2.377057003944163,,
ins152_m=3_j=20_t=20_var=12,23,52.0,52.52,66.0,2.179357703544785,,
ins152_m=3_j=20_t=20_var=12,24,52.0,52.11,55.0,0.4667976006793523,,
ins152_m=3_j=20_t=20_var=12,25,52.0,52.25,56.0,0.8411301920630361,,
ins152_m=3_j=20_t=20_var=12,26,52.0,52.31,58.0,1.0741973747873341,,
ins152_m=3_j=20_t=20_var=12,27,52.0,52.59,70.0,2.6423285185608547,,
ins152_m=3_j=20_t=20_var=12,28,52.0,52.29,60.0,1.2271511724314978,,
ins152_m=3_j=20_t=20_var=12,29,52.0,52.68,64.0,2.0242529486207994,,
ins152_m=3_j=20_t=20_var=12,30,52.0,52.62,66.0,2.3823517792299276,,
ins152_m=3_j=20_t=20_var=12,31,52.0,52.31,66.0,1.5472233193692502,,
ins152_m=3_j=20_t=20_var=12,32,52.0,52.6,66.0,2.379075450674064,,
ins152_m=3_j=20_t=20_var=12,33,52.0,52.53,70.0,2.594050886162412,,
ins152_m=3_j=20_t=20_var=12,34,52.0,52.59,66.0,2.4498775479603068,,
ins152_m=3_j=20_t=20_var=12,35,52.0,52.43,64.0,1.8398641254179617,,
ins152_m=3_j=20_t=20_var=12,36,52.0,52.8,66.0,2.3748684174075834,,
ins152_m=3_j=20_t=20_var=12,37,52.0,52.56,64.0,1.9095549219648018,,
