instance,makespan,execution_time,machine_id,jobs
ins39_m=2_j=15_t=10_var=19,41.0,2.2689833641052246,0,5;13;11;9;3;2;7;6
ins39_m=2_j=15_t=10_var=19,41.0,2.2689833641052246,1,9;6;2;3;7;10;0;12
