instance,generation,min,avg,max,std,execution_time,best_makespan
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,0,1312.0,1480.67,1723.0,83.28493921472239,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,1,1312.0,1417.41,1525.0,43.91903801314414,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,2,1312.0,1385.9,1446.0,32.944650552100256,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,3,1312.0,1363.12,1464.0,30.333242490706468,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,4,1296.0,1339.01,1408.0,24.789713592536724,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,5,1296.0,1319.26,1389.0,14.629162655463231,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,6,1296.0,1312.64,1361.0,9.625507778813542,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,7,1296.0,1310.87,1415.0,18.453538955983483,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,8,1275.0,1304.51,1368.0,11.51824205336908,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,9,1275.0,1298.38,1324.0,7.115869588462116,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,10,1275.0,1297.76,1422.0,20.168351444776047,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,11,1275.0,1292.14,1387.0,14.782435523282352,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,12,1275.0,1286.3,1352.0,14.24324401251344,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,13,1275.0,1279.68,1359.0,12.860699825437182,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,14,1275.0,1277.9,1394.0,16.897632970330488,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,15,1275.0,1279.42,1415.0,19.40266991936934,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,16,1268.0,1280.32,1422.0,23.699316445838686,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,17,1261.0,1278.46,1380.0,16.510857034085177,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,18,1261.0,1274.39,1324.0,6.241626390613268,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,19,1261.0,1274.57,1401.0,17.640439336932626,,
ins390_m=4_j=40_t=120_sw=h_dens=d_var=10,20,1261.0,1269.81,1387.0,13.668719764484162,,
