instance,generation,min,avg,max,std,execution_time,best_makespan
ins141_m=3_j=20_t=20_var=1,0,77.0,91.73,113.0,6.505159490742713,,
ins141_m=3_j=20_t=20_var=1,1,77.0,87.37,98.0,3.7700265251056253,,
ins141_m=3_j=20_t=20_var=1,2,76.0,84.31,90.0,3.3157050532277452,,
ins141_m=3_j=20_t=20_var=1,3,75.0,81.5,90.0,3.5930488446443363,,
ins141_m=3_j=20_t=20_var=1,4,75.0,78.45,85.0,2.479415253643488,,
ins141_m=3_j=20_t=20_var=1,5,69.0,76.9,89.0,1.8357559750685817,,
ins141_m=3_j=20_t=20_var=1,6,69.0,75.98,86.0,1.8383688422076785,,
ins141_m=3_j=20_t=20_var=1,7,69.0,75.41,82.0,2.2454175558234146,,
ins141_m=3_j=20_t=20_var=1,8,67.0,73.99,79.0,2.6513958587883484,,
ins141_m=3_j=20_t=20_var=1,9,67.0,72.13,85.0,2.8832446999864576,,
ins141_m=3_j=20_t=20_var=1,10,67.0,69.94,75.0,1.859139585937538,,
ins141_m=3_j=20_t=20_var=1,11,67.0,69.24,85.0,2.895237468671611,,
ins141_m=3_j=20_t=20_var=1,12,67.0,68.04,85.0,2.297476876923901,,
ins141_m=3_j=20_t=20_var=1,13,67.0,67.13,76.0,0.9343982020530648,,
ins141_m=3_j=20_t=20_var=1,14,67.0,67.7,79.0,2.0024984394500787,,
ins141_m=3_j=20_t=20_var=1,15,67.0,67.6,79.0,1.865475810617763,,
ins141_m=3_j=20_t=20_var=1,16,67.0,67.46,79.0,1.6638509548634457,,
ins141_m=3_j=20_t=20_var=1,17,67.0,67.53,76.0,1.8080652643087858,,
ins141_m=3_j=20_t=20_var=1,18,67.0,67.22,73.0,0.87840765023991,,
ins141_m=3_j=20_t=20_var=1,19,67.0,67.73,79.0,2.1394158081121115,,
ins141_m=3_j=20_t=20_var=1,20,67.0,67.56,85.0,2.515233587561998,,
ins141_m=3_j=20_t=20_var=1,21,67.0,67.37,73.0,1.293483668238606,,
ins141_m=3_j=20_t=20_var=1,22,67.0,67.86,85.0,2.9189724219320743,,
ins141_m=3_j=20_t=20_var=1,23,67.0,67.55,85.0,2.4098755154571787,,
ins141_m=3_j=20_t=20_var=1,24,67.0,67.44,79.0,1.8073184556131774,,
ins141_m=3_j=20_t=20_var=1,25,67.0,67.36,76.0,1.6094719630984562,,
