instance,solution_id,iterations,execution_time,tool_switches,makespan
ins121_m=3_j=15_t=20_var=1.csv,iter_268_perturbed_vnd_job_exchange_vnd_job_exchange_vnd_job_exchange_vnd_job_exchange_vnd_job_exchange,2250,220.93674325942993,10,76
ins121_m=3_j=15_t=20_var=1.csv,iter_2235_perturbed_vnd_swap,2250,220.93674325942993,10,76
ins121_m=3_j=15_t=20_var=1.csv,iter_500_perturbed_vnd_swap,2250,220.93674325942993,11,62
ins121_m=3_j=15_t=20_var=1.csv,iter_2185_perturbed_vnd_job_exchange_vnd_job_exchange_vnd_job_exchange_vnd_swap,2250,220.93674325942993,11,62
ins121_m=3_j=15_t=20_var=1.csv,iter_2116_perturbed_vnd_job_exchange_vnd_job_exchange_vnd_swap_vnd_swap_vnd_swap,2250,220.93674325942993,13,52
ins121_m=3_j=15_t=20_var=1.csv,iter_2113_perturbed_vnd_job_exchange_vnd_job_exchange_vnd_job_exchange_vnd_job_exchange_vnd_swap,2250,220.93674325942993,13,52
ins121_m=3_j=15_t=20_var=1.csv,iter_2239_perturbed_vnd_job_exchange_vnd_job_exchange_vnd_insertion_vnd_job_exchange_vnd_insertion,2250,220.93674325942993,14,45
ins121_m=3_j=15_t=20_var=1.csv,iter_2208_perturbed_vnd_job_exchange_vnd_swap_vnd_insertion_vnd_swap_vnd_insertion,2250,220.93674325942993,16,42
ins121_m=3_j=15_t=20_var=1.csv,iter_943_perturbed_vnd_job_exchange_vnd_job_exchange_vnd_job_exchange_vnd_swap_vnd_swap_vnd_insertion_vnd_job_exchange,2250,220.93674325942993,18,41
ins121_m=3_j=15_t=20_var=1.csv,iter_2169_perturbed_vnd_job_exchange_vnd_job_exchange_vnd_insertion_vnd_job_exchange,2250,220.93674325942993,18,41
