instance,num_machines,num_jobs,num_tools,ga_initial_makespan,ga_best_makespan,ga_improvement_pct,ga_time_seconds,vns_best_makespan,vns_tool_switches,ga_vns_gap,ga_vns_gap_pct
ins1_m=2_j=10_t=10_var=1,2,10,10,40.00,36.00,10.00,2.70,32.00,4.00,4.00,12.50
ins121_m=3_j=15_t=20_var=1,3,15,20,,,,,41.00,18.00,,
ins160_m=3_j=20_t=20_var=20,3,20,20,78.00,56.00,28.21,6.13,,,,
ins640_m=6_j=120_t=120_sw=h_dens=d_var=20,6,120,120,3638.00,3329.00,8.49,34.87,,,,
