instance,solution_id,iterations,execution_time,tool_switches,makespan
ins1_m=2_j=10_t=10_var=1.csv,iter_830_perturbed_vnd_swap,1000,39.08612275123596,3,59
ins1_m=2_j=10_t=10_var=1.csv,iter_966_perturbed,1000,39.08612275123596,3,59
ins1_m=2_j=10_t=10_var=1.csv,iter_869_perturbed,1000,39.08612275123596,3,59
ins1_m=2_j=10_t=10_var=1.csv,iter_988_perturbed,1000,39.08612275123596,3,59
ins1_m=2_j=10_t=10_var=1.csv,iter_666_perturbed_vnd_swap_vnd_swap,1000,39.08612275123596,3,59
ins1_m=2_j=10_t=10_var=1.csv,iter_903_perturbed_vnd_swap,1000,39.08612275123596,3,59
ins1_m=2_j=10_t=10_var=1.csv,iter_773_perturbed,1000,39.08612275123596,3,59
ins1_m=2_j=10_t=10_var=1.csv,iter_989_perturbed,1000,39.08612275123596,3,59
ins1_m=2_j=10_t=10_var=1.csv,iter_75_perturbed_vnd_job_exchange_vnd_job_exchange_vnd_job_exchange_vnd_swap,1000,39.08612275123596,4,32
ins1_m=2_j=10_t=10_var=1.csv,iter_998_perturbed_vnd_job_exchange_vnd_job_exchange_vnd_job_exchange_vnd_insertion_vnd_insertion_vnd_one_block,1000,39.08612275123596,4,32
