instance,solution_id,iterations,execution_time,tool_switches,makespan
ins1_m=2_j=10_t=10_var=1.csv,iter_940_perturbed,1000,36.29991793632507,3,59
ins1_m=2_j=10_t=10_var=1.csv,iter_911_perturbed_vnd_swap_vnd_swap,1000,36.29991793632507,3,59
ins1_m=2_j=10_t=10_var=1.csv,iter_922_perturbed_vnd_swap,1000,36.29991793632507,3,59
ins1_m=2_j=10_t=10_var=1.csv,iter_925_perturbed,1000,36.29991793632507,3,59
ins1_m=2_j=10_t=10_var=1.csv,iter_888_perturbed,1000,36.29991793632507,3,59
ins1_m=2_j=10_t=10_var=1.csv,iter_903_perturbed_vnd_job_exchange,1000,36.29991793632507,3,59
ins1_m=2_j=10_t=10_var=1.csv,iter_842_perturbed,1000,36.29991793632507,3,59
ins1_m=2_j=10_t=10_var=1.csv,iter_969_perturbed_vnd_swap,1000,36.29991793632507,3,59
ins1_m=2_j=10_t=10_var=1.csv,iter_5_perturbed_vnd_job_exchange_vnd_insertion_vnd_two_opt,1000,36.29991793632507,4,32
ins1_m=2_j=10_t=10_var=1.csv,iter_991_perturbed_vnd_swap_vnd_insertion_vnd_insertion,1000,36.29991793632507,4,32
