instance,generation,min,avg,max,std,execution_time,best_makespan
ins111_m=3_j=20_t=15_var=11,0,63.0,81.36,113.0,8.630782119831318,,
ins111_m=3_j=20_t=15_var=11,1,63.0,73.61,92.0,5.172803881842032,,
ins111_m=3_j=20_t=15_var=11,2,62.0,69.37,78.0,3.6239619203297373,,
ins111_m=3_j=20_t=15_var=11,3,62.0,66.59,80.0,3.4032190643565694,,
ins111_m=3_j=20_t=15_var=11,4,62.0,64.1,69.0,1.86815416922694,,
ins111_m=3_j=20_t=15_var=11,5,62.0,63.22,71.0,1.6708081876744563,,
ins111_m=3_j=20_t=15_var=11,6,62.0,62.62,71.0,1.5860643114325474,,
ins111_m=3_j=20_t=15_var=11,7,60.0,62.35,71.0,1.570827807240501,,
ins111_m=3_j=20_t=15_var=11,8,60.0,62.15,68.0,1.134680571791022,,
ins111_m=3_j=20_t=15_var=11,9,57.0,61.86,71.0,1.4072668545801823,,
ins111_m=3_j=20_t=15_var=11,10,56.0,61.33,70.0,1.6616558007000124,,
ins111_m=3_j=20_t=15_var=11,11,56.0,60.83,74.0,2.6231850868743516,,
ins111_m=3_j=20_t=15_var=11,12,56.0,59.69,66.0,1.814910466111207,,
ins111_m=3_j=20_t=15_var=11,13,56.0,58.55,60.0,1.7168284713389395,,
ins111_m=3_j=20_t=15_var=11,14,56.0,57.88,70.0,2.5348767228407776,,
ins111_m=3_j=20_t=15_var=11,15,56.0,56.86,68.0,2.2136847110643374,,
ins111_m=3_j=20_t=15_var=11,16,56.0,56.74,83.0,3.1862831010442245,,
ins111_m=3_j=20_t=15_var=11,17,56.0,56.76,71.0,2.7353975945006606,,
ins111_m=3_j=20_t=15_var=11,18,56.0,56.35,64.0,1.4168627315304756,,
ins111_m=3_j=20_t=15_var=11,19,56.0,57.32,71.0,3.1428649350552753,,
ins111_m=3_j=20_t=15_var=11,20,56.0,56.69,65.0,1.9834061611278713,,
ins111_m=3_j=20_t=15_var=11,21,56.0,56.64,68.0,2.2957351763650786,,
ins111_m=3_j=20_t=15_var=11,22,55.0,56.91,71.0,2.895151118681026,,
ins111_m=3_j=20_t=15_var=11,23,54.0,56.47,74.0,2.2823452850083834,,
ins111_m=3_j=20_t=15_var=11,24,54.0,56.4,83.0,3.3166247903554007,,
ins111_m=3_j=20_t=15_var=11,25,54.0,56.27,68.0,2.2971939404412502,,
ins111_m=3_j=20_t=15_var=11,26,54.0,56.08,74.0,3.005594783067072,,
ins111_m=3_j=20_t=15_var=11,27,54.0,55.14,66.0,1.9132171857894231,,
ins111_m=3_j=20_t=15_var=11,28,54.0,54.6,64.0,2.0149441679609885,,
ins111_m=3_j=20_t=15_var=11,29,54.0,54.92,64.0,2.556090765211596,,
ins111_m=3_j=20_t=15_var=11,30,54.0,54.4,64.0,1.6792855623746668,,
ins111_m=3_j=20_t=15_var=11,31,54.0,54.52,62.0,1.64,,
ins111_m=3_j=20_t=15_var=11,32,54.0,54.62,64.0,2.1155613912151074,,
ins111_m=3_j=20_t=15_var=11,33,54.0,54.48,66.0,1.8998947339260668,,
