instance,generation,min,avg,max,std,execution_time,best_makespan
ins149_m=3_j=20_t=20_var=9,0,78.0,90.73,109.0,7.516455281580541,,
ins149_m=3_j=20_t=20_var=9,1,78.0,85.21,102.0,4.915882423329508,,
ins149_m=3_j=20_t=20_var=9,2,75.0,81.35,90.0,2.6659894973536558,,
ins149_m=3_j=20_t=20_var=9,3,71.0,80.18,94.0,2.8120455188349993,,
ins149_m=3_j=20_t=20_var=9,4,75.0,78.64,84.0,1.7001176429882727,,
ins149_m=3_j=20_t=20_var=9,5,71.0,77.2,83.0,2.0445048300260873,,
ins149_m=3_j=20_t=20_var=9,6,71.0,75.46,81.0,2.4389341934541817,,
ins149_m=3_j=20_t=20_var=9,7,69.0,73.49,85.0,2.36006355846617,,
ins149_m=3_j=20_t=20_var=9,8,69.0,72.36,83.0,2.313093167168154,,
ins149_m=3_j=20_t=20_var=9,9,67.0,71.18,83.0,1.9410306540598474,,
ins149_m=3_j=20_t=20_var=9,10,67.0,70.59,76.0,1.1053958566956907,,
ins149_m=3_j=20_t=20_var=9,11,67.0,70.88,83.0,3.089595442772403,,
ins149_m=3_j=20_t=20_var=9,12,67.0,69.7,80.0,2.242766149200581,,
ins149_m=3_j=20_t=20_var=9,13,67.0,68.52,80.0,1.4524462124292243,,
ins149_m=3_j=20_t=20_var=9,14,67.0,68.57,83.0,2.3717293268836555,,
ins149_m=3_j=20_t=20_var=9,15,65.0,68.33,83.0,2.5692605940231132,,
ins149_m=3_j=20_t=20_var=9,16,65.0,67.93,83.0,2.5778091473187073,,
ins149_m=3_j=20_t=20_var=9,17,65.0,67.81,79.0,2.7044223043008655,,
ins149_m=3_j=20_t=20_var=9,18,65.0,67.11,77.0,2.1208253110522794,,
ins149_m=3_j=20_t=20_var=9,19,65.0,67.04,79.0,3.255518391900129,,
ins149_m=3_j=20_t=20_var=9,20,65.0,66.02,77.0,2.293381782433967,,
ins149_m=3_j=20_t=20_var=9,21,65.0,65.91,77.0,2.8252256547044166,,
ins149_m=3_j=20_t=20_var=9,22,65.0,66.09,83.0,3.228296764549381,,
ins149_m=3_j=20_t=20_var=9,23,65.0,65.75,77.0,2.3932195887548637,,
ins149_m=3_j=20_t=20_var=9,24,65.0,65.86,77.0,2.514040572464971,,
ins149_m=3_j=20_t=20_var=9,25,65.0,65.55,77.0,1.9306734576307825,,
ins149_m=3_j=20_t=20_var=9,26,65.0,65.86,77.0,2.600076921939041,,
ins149_m=3_j=20_t=20_var=9,27,65.0,65.27,77.0,1.4754999152829527,,
ins149_m=3_j=20_t=20_var=9,28,65.0,65.57,80.0,2.3927181196288037,,
ins149_m=3_j=20_t=20_var=9,29,65.0,65.87,77.0,2.5638057648737744,,
ins149_m=3_j=20_t=20_var=9,30,65.0,65.42,74.0,1.686297719858507,,
ins149_m=3_j=20_t=20_var=9,31,65.0,65.84,83.0,2.7375901811629877,,
ins149_m=3_j=20_t=20_var=9,32,65.0,66.19,83.0,3.306644825196683,,
ins149_m=3_j=20_t=20_var=9,33,65.0,65.43,74.0,1.5572732579736928,,
ins149_m=3_j=20_t=20_var=9,34,65.0,65.86,77.0,2.445485636841893,,
ins149_m=3_j=20_t=20_var=9,35,65.0,65.65,77.0,2.1511624764298958,,
ins149_m=3_j=20_t=20_var=9,36,65.0,65.53,73.0,1.552127572076471,,
ins149_m=3_j=20_t=20_var=9,37,65.0,65.51,83.0,2.295626276204382,,
ins149_m=3_j=20_t=20_var=9,38,65.0,65.57,74.0,1.935226084983354,,
ins149_m=3_j=20_t=20_var=9,39,65.0,65.58,77.0,2.1733844574764034,,
ins149_m=3_j=20_t=20_var=9,40,65.0,65.43,75.0,1.7564452738414595,,
ins149_m=3_j=20_t=20_var=9,41,65.0,66.02,77.0,3.0950928903669435,,
ins149_m=3_j=20_t=20_var=9,42,65.0,66.33,79.0,3.23436237920243,,
ins149_m=3_j=20_t=20_var=9,43,65.0,65.7,80.0,2.5709920264364885,,
ins149_m=3_j=20_t=20_var=9,44,65.0,65.77,80.0,2.9218316173249956,,
ins149_m=3_j=20_t=20_var=9,45,65.0,66.26,83.0,3.392992779243717,,
ins149_m=3_j=20_t=20_var=9,46,65.0,65.35,80.0,1.9918584287042091,,
ins149_m=3_j=20_t=20_var=9,47,65.0,66.84,80.0,3.8851512197081854,,
ins149_m=3_j=20_t=20_var=9,48,65.0,65.86,83.0,2.8320310732758567,,
ins149_m=3_j=20_t=20_var=9,49,65.0,66.0,80.0,2.949576240750525,,
ins149_m=3_j=20_t=20_var=9,50,65.0,66.36,80.0,3.360119045510144,,
ins149_m=3_j=20_t=20_var=9,51,65.0,66.38,77.0,3.331005854092724,,
ins149_m=3_j=20_t=20_var=9,52,65.0,65.88,83.0,2.8784718167805643,,
ins149_m=3_j=20_t=20_var=9,53,65.0,65.27,73.0,1.173499041328965,,
ins149_m=3_j=20_t=20_var=9,54,65.0,65.48,77.0,1.9772708463940898,,
ins149_m=3_j=20_t=20_var=9,55,65.0,65.63,77.0,2.1431518844916244,,
ins149_m=3_j=20_t=20_var=9,56,65.0,65.98,80.0,3.1208332220738746,,
ins149_m=3_j=20_t=20_var=9,57,65.0,65.52,77.0,1.9671298889498883,,
ins149_m=3_j=20_t=20_var=9,58,65.0,66.13,80.0,3.5203835018361285,,
ins149_m=3_j=20_t=20_var=9,59,65.0,66.12,80.0,3.000933188193299,,
ins149_m=3_j=20_t=20_var=9,60,65.0,66.0,80.0,2.9899832775452104,,
ins149_m=3_j=20_t=20_var=9,61,65.0,65.64,80.0,2.338888624966995,,
ins149_m=3_j=20_t=20_var=9,62,65.0,65.6,80.0,2.3664319132398464,,
ins149_m=3_j=20_t=20_var=9,63,65.0,65.72,77.0,2.3370066324253345,,
ins149_m=3_j=20_t=20_var=9,64,65.0,65.88,86.0,3.231965346348875,,
ins149_m=3_j=20_t=20_var=9,65,65.0,65.77,77.0,2.3188574772935056,,
ins149_m=3_j=20_t=20_var=9,66,65.0,65.51,77.0,1.824801359052541,,
ins149_m=3_j=20_t=20_var=9,67,65.0,66.07,77.0,2.6842317336623527,,
ins149_m=3_j=20_t=20_var=9,68,65.0,65.85,80.0,2.736329658502425,,
ins149_m=3_j=20_t=20_var=9,69,65.0,65.76,80.0,2.6196182928052703,,
ins149_m=3_j=20_t=20_var=9,70,65.0,65.4,72.0,1.3928388277184118,,
ins149_m=3_j=20_t=20_var=9,71,65.0,65.81,77.0,2.621812350264603,,
ins149_m=3_j=20_t=20_var=9,72,65.0,65.7,80.0,2.6019223662515376,,
ins149_m=3_j=20_t=20_var=9,73,65.0,65.55,77.0,1.9461500456028569,,
ins149_m=3_j=20_t=20_var=9,74,65.0,65.71,80.0,2.5071697190258186,,
ins149_m=3_j=20_t=20_var=9,75,65.0,65.41,80.0,2.069275235438727,,
ins149_m=3_j=20_t=20_var=9,76,65.0,65.54,77.0,1.9153067639414845,,
ins149_m=3_j=20_t=20_var=9,77,65.0,65.68,77.0,2.3869645996537106,,
ins149_m=3_j=20_t=20_var=9,78,65.0,65.54,80.0,2.443030904429987,,
ins149_m=3_j=20_t=20_var=9,79,65.0,65.96,86.0,3.1238437861071096,,
ins149_m=3_j=20_t=20_var=9,80,65.0,65.99,80.0,2.8999827585694367,,
ins149_m=3_j=20_t=20_var=9,81,65.0,65.28,73.0,1.2253978945632313,,
ins149_m=3_j=20_t=20_var=9,82,65.0,65.82,80.0,3.0541119822298595,,
ins149_m=3_j=20_t=20_var=9,83,65.0,66.24,86.0,3.5556152772762126,,
