instance,execution_time,initial_makespan,best_makespan,improvement,improvement_pct,num_machines,num_jobs,num_tools,folder
ins90_m=3_j=15_t=15_var=10,2.6968839168548584,40.0,36.0,4.0,10.0,3,15,15,SSP-NPM-I
ins91_m=3_j=15_t=15_var=11,2.657989740371704,38.0,28.0,10.0,26.31578947368421,3,15,15,SSP-NPM-I
ins92_m=3_j=15_t=15_var=12,2.7205135822296143,37.0,32.0,5.0,13.513513513513514,3,15,15,SSP-NPM-I
ins93_m=3_j=15_t=15_var=13,2.70534086227417,45.0,40.0,5.0,11.11111111111111,3,15,15,SSP-NPM-I
ins94_m=3_j=15_t=15_var=14,2.738800287246704,43.0,38.0,5.0,11.627906976744185,3,15,15,SSP-NPM-I
ins95_m=3_j=15_t=15_var=15,2.692401885986328,34.0,29.0,5.0,14.705882352941178,3,15,15,SSP-NPM-I
ins96_m=3_j=15_t=15_var=16,2.684943675994873,37.0,33.0,4.0,10.81081081081081,3,15,15,SSP-NPM-I
ins97_m=3_j=15_t=15_var=17,2.7031848430633545,41.0,28.0,13.0,31.70731707317073,3,15,15,SSP-NPM-I
ins98_m=3_j=15_t=15_var=18,2.70658278465271,35.0,30.0,5.0,14.285714285714285,3,15,15,SSP-NPM-I
ins99_m=3_j=15_t=15_var=19,2.7816264629364014,44.0,29.0,15.0,34.090909090909086,3,15,15,SSP-NPM-I
ins9_m=2_j=10_t=10_var=9,2.0152037143707275,36.0,30.0,6.0,16.666666666666664,2,10,10,SSP-NPM-I
