instance,generation,min,avg,max,std,execution_time,best_makespan
ins24_m=2_j=15_t=10_var=4,0,56.0,70.17,85.0,5.63037298942086,,
ins24_m=2_j=15_t=10_var=4,1,54.0,65.21,74.0,4.0032361908835705,,
ins24_m=2_j=15_t=10_var=4,2,55.0,62.31,70.0,2.8308832543925226,,
ins24_m=2_j=15_t=10_var=4,3,55.0,60.32,65.0,2.1348536249588634,,
ins24_m=2_j=15_t=10_var=4,4,55.0,59.11,70.0,2.4244380792257822,,
ins24_m=2_j=15_t=10_var=4,5,55.0,57.67,64.0,1.7947423213375227,,
ins24_m=2_j=15_t=10_var=4,6,55.0,56.48,68.0,1.71743995528228,,
ins24_m=2_j=15_t=10_var=4,7,53.0,55.91,65.0,1.7441043546760613,,
ins24_m=2_j=15_t=10_var=4,8,53.0,55.37,63.0,1.5274488534808621,,
ins24_m=2_j=15_t=10_var=4,9,53.0,54.95,69.0,1.8131464364468743,,
ins24_m=2_j=15_t=10_var=4,10,53.0,54.64,60.0,1.3529227620230213,,
ins24_m=2_j=15_t=10_var=4,11,49.0,54.21,63.0,2.05082910063223,,
ins24_m=2_j=15_t=10_var=4,12,49.0,53.31,63.0,1.7815442739376417,,
ins24_m=2_j=15_t=10_var=4,13,49.0,53.31,68.0,2.394556326336885,,
ins24_m=2_j=15_t=10_var=4,14,49.0,52.55,59.0,2.0365411854416298,,
ins24_m=2_j=15_t=10_var=4,15,49.0,51.41,61.0,2.392049330595002,,
ins24_m=2_j=15_t=10_var=4,16,49.0,50.66,68.0,3.0699185656951875,,
ins24_m=2_j=15_t=10_var=4,17,49.0,49.67,59.0,1.816892952267689,,
ins24_m=2_j=15_t=10_var=4,18,49.0,49.84,57.0,2.013554071784515,,
ins24_m=2_j=15_t=10_var=4,19,49.0,49.75,64.0,2.8578838324886475,,
ins24_m=2_j=15_t=10_var=4,20,49.0,49.87,68.0,2.777246838147448,,
ins24_m=2_j=15_t=10_var=4,21,49.0,49.71,61.0,2.16469397375241,,
ins24_m=2_j=15_t=10_var=4,22,49.0,49.51,60.0,1.8465914545453743,,
ins24_m=2_j=15_t=10_var=4,23,49.0,49.63,66.0,2.3223048895440064,,
ins24_m=2_j=15_t=10_var=4,24,49.0,49.54,63.0,1.8730723424363513,,
ins24_m=2_j=15_t=10_var=4,25,49.0,50.14,61.0,2.9462518561725166,,
ins24_m=2_j=15_t=10_var=4,26,49.0,50.13,61.0,2.9245683442176555,,
ins24_m=2_j=15_t=10_var=4,27,49.0,49.86,64.0,2.8531386226399866,,
ins24_m=2_j=15_t=10_var=4,28,49.0,49.64,60.0,2.0857612519173903,,
ins24_m=2_j=15_t=10_var=4,29,49.0,49.57,57.0,1.8614779074702983,,
ins24_m=2_j=15_t=10_var=4,30,49.0,49.67,64.0,2.3067509618508883,,
ins24_m=2_j=15_t=10_var=4,31,49.0,50.1,63.0,3.0675723300355937,,
ins24_m=2_j=15_t=10_var=4,32,49.0,49.79,61.0,2.413690120955878,,
ins24_m=2_j=15_t=10_var=4,33,49.0,49.91,60.0,2.341345766861443,,
ins24_m=2_j=15_t=10_var=4,34,49.0,50.19,64.0,3.173940768193383,,
ins24_m=2_j=15_t=10_var=4,35,49.0,49.86,64.0,2.3538054295119637,,
ins24_m=2_j=15_t=10_var=4,36,49.0,50.06,64.0,3.09780567498996,,
ins24_m=2_j=15_t=10_var=4,37,49.0,50.13,64.0,3.081087470358477,,
ins24_m=2_j=15_t=10_var=4,38,49.0,49.79,61.0,2.380315105190907,,
ins24_m=2_j=15_t=10_var=4,39,49.0,50.01,64.0,2.8652923062054243,,
ins24_m=2_j=15_t=10_var=4,40,49.0,50.01,60.0,2.4919670944857994,,
ins24_m=2_j=15_t=10_var=4,41,49.0,49.99,64.0,2.8792186440074325,,
ins24_m=2_j=15_t=10_var=4,42,49.0,49.95,60.0,2.376446927663229,,
ins24_m=2_j=15_t=10_var=4,43,49.0,50.37,64.0,3.12619577122099,,
ins24_m=2_j=15_t=10_var=4,44,49.0,49.59,60.0,1.8171130949943648,,
ins24_m=2_j=15_t=10_var=4,45,49.0,50.34,64.0,3.3681448899950843,,
ins24_m=2_j=15_t=10_var=4,46,49.0,49.85,64.0,2.5705057868053904,,
ins24_m=2_j=15_t=10_var=4,47,49.0,50.33,64.0,3.3765514952388926,,
ins24_m=2_j=15_t=10_var=4,48,49.0,50.23,61.0,2.9388943499214117,,
