instance,generation,min,avg,max,std,execution_time,best_makespan
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,0,575.0,680.96,803.0,49.73005529858177,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,1,567.0,640.95,728.0,35.69884451911574,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,2,567.0,610.99,662.0,23.642967241867083,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,3,567.0,590.84,627.0,18.516867985704277,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,4,567.0,576.97,611.0,11.60900943233315,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,5,567.0,569.99,597.0,5.570448814951988,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,6,559.0,567.98,607.0,5.09505642755799,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,7,559.0,567.86,595.0,5.006036356240333,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,8,559.0,566.9,607.0,5.046781152378217,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,9,559.0,565.5,587.0,4.043513323831146,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,10,555.0,562.84,575.0,4.332943572215083,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,11,555.0,561.46,607.0,6.875201815219681,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,12,555.0,559.4,575.0,2.4331050121192876,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,13,555.0,558.64,559.0,1.1447270417003348,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,14,551.0,557.92,563.0,1.947716611830376,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,15,551.0,558.8,611.0,10.013990213696038,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,16,551.0,555.86,591.0,5.361007368023289,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,17,547.0,555.25,591.0,5.988948154726337,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,18,547.0,553.5,583.0,4.1,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,19,547.0,552.11,591.0,4.923200178745528,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,20,547.0,550.64,587.0,4.043562785465313,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,21,547.0,550.52,595.0,6.86510014493598,,
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,22,547.0,549.04,579.0,6.511405378257447,,
